Scenario,Compiler,Optimization,Mode,N,AverageSeconds,MedianSeconds,StdDevSeconds,MinSeconds,MaxSeconds
CppMember,clang,Od,cpp,1000,0.067627,0.064669,0.007693,0.062703,0.098341
CppMember,clang,O2,cpp,1000,0.135669,0.133903,0.006671,0.128153,0.162886
CppMember,clang,Od,cpp,2000,0.113391,0.112802,0.002268,0.110556,0.119491
CppMember,clang,O2,cpp,2000,0.258015,0.251926,0.012039,0.245592,0.280788
CppMember,clang,Od,cpp,4000,0.212577,0.210560,0.008475,0.207353,0.253937
CppMember,clang,O2,cpp,4000,0.480800,0.478855,0.010213,0.468870,0.513564
CppMember,clang,Od,cpp,8000,0.409756,0.408839,0.006890,0.397659,0.427245
CppMember,clang,O2,cpp,8000,0.978997,0.977886,0.020969,0.942633,1.014410
CppMember,clang,Od,cpp,16000,0.837828,0.838715,0.010751,0.817653,0.862363
CppMember,clang,O2,cpp,16000,1.946477,1.945354,0.024700,1.899517,2.015608
CppOverload,clang,Od,cpp,1000,0.378073,0.377041,0.005466,0.371037,0.391670
CppOverload,clang,O2,cpp,1000,0.463606,0.462272,0.006737,0.452212,0.481999
CppOverload,clang,Od,cpp,2000,1.528958,1.526388,0.019934,1.502866,1.582473
CppOverload,clang,O2,cpp,2000,1.670287,1.666760,0.023137,1.631407,1.749256
CppOverload,clang,Od,cpp,4000,5.926726,5.932538,0.061696,5.784414,6.007923
CppOverload,clang,O2,cpp,4000,6.346358,6.332599,0.086728,6.178331,6.543981
Empty,clang,Od,c,1000,0.016085,0.015937,0.000605,0.015219,0.017420
Empty,clang,O2,c,1000,0.016463,0.016358,0.000412,0.015686,0.017269
Empty,clang,Od,cpp,1000,0.016136,0.016108,0.000500,0.015317,0.018000
Empty,clang,O2,cpp,1000,0.016721,0.016523,0.001151,0.015819,0.022410
FreeFunc,clang,Od,c,1000,0.065737,0.065600,0.001232,0.063950,0.068374
FreeFunc,clang,O2,c,1000,0.137144,0.136925,0.001708,0.134057,0.140691
FreeFunc,clang,Od,cpp,1000,0.074449,0.071284,0.005539,0.068116,0.084559
FreeFunc,clang,O2,cpp,1000,0.141972,0.141715,0.002965,0.136603,0.150348
FreeFunc,clang,Od,c,2000,0.112462,0.112296,0.001556,0.110412,0.117040
FreeFunc,clang,O2,c,2000,0.253543,0.252488,0.004238,0.247041,0.267299
FreeFunc,clang,Od,cpp,2000,0.120260,0.119896,0.002552,0.114444,0.124598
FreeFunc,clang,O2,cpp,2000,0.255012,0.255174,0.003337,0.249658,0.261859
FreeFunc,clang,Od,c,4000,0.205173,0.205132,0.002336,0.200413,0.210100
FreeFunc,clang,O2,c,4000,0.479872,0.477480,0.009514,0.468713,0.518138
FreeFunc,clang,Od,cpp,4000,0.237501,0.222768,0.039714,0.214794,0.376689
FreeFunc,clang,O2,cpp,4000,0.498480,0.497511,0.006098,0.485229,0.516154
FreeFunc,clang,Od,c,8000,0.398739,0.398457,0.005963,0.389624,0.419107
FreeFunc,clang,O2,c,8000,1.000077,1.002782,0.021072,0.953675,1.040014
FreeFunc,clang,Od,cpp,8000,0.429851,0.426130,0.010484,0.420260,0.471939
FreeFunc,clang,O2,cpp,8000,0.993361,0.992932,0.007465,0.975353,1.008142
FreeFunc,clang,Od,c,16000,0.802358,0.801574,0.006081,0.792337,0.817165
FreeFunc,clang,O2,c,16000,1.948215,1.948361,0.025936,1.899157,2.037360
FreeFunc,clang,Od,cpp,16000,0.857633,0.857324,0.013264,0.838298,0.903518
FreeFunc,clang,O2,cpp,16000,1.998595,2.000177,0.018591,1.956023,2.029850
Funcs,clang,Od,c,1000,0.045971,0.045630,0.001383,0.044048,0.049023
Funcs,clang,O2,c,1000,0.122344,0.122190,0.002139,0.116802,0.126556
Funcs,clang,Od,cpp,1000,0.048722,0.047679,0.005628,0.045680,0.077565
Funcs,clang,O2,cpp,1000,0.125690,0.124789,0.003693,0.121263,0.138575
Funcs,clang,Od,c,2000,0.076289,0.074762,0.003311,0.072231,0.084503
Funcs,clang,O2,c,2000,0.229074,0.229341,0.003871,0.221783,0.236507
Funcs,clang,Od,cpp,2000,0.079930,0.079294,0.002648,0.077602,0.091533
Funcs,clang,O2,cpp,2000,0.231383,0.232194,0.003546,0.222598,0.237004
Funcs,clang,Od,c,4000,0.136493,0.136469,0.002276,0.131624,0.139677
Funcs,clang,O2,c,4000,0.442770,0.442679,0.005678,0.430460,0.452185
Funcs,clang,Od,cpp,4000,0.143151,0.142833,0.002879,0.135831,0.148405
Funcs,clang,O2,cpp,4000,0.449553,0.448412,0.006642,0.438680,0.461725
Funcs,clang,Od,c,8000,0.262386,0.262965,0.003716,0.254390,0.268016
Funcs,clang,O2,c,8000,0.877415,0.874595,0.009692,0.855226,0.905448
Funcs,clang,Od,cpp,8000,0.277351,0.277540,0.003526,0.270288,0.285395
Funcs,clang,O2,cpp,8000,0.883274,0.883408,0.011369,0.862837,0.904639
Funcs,clang,Od,c,16000,0.537384,0.537499,0.007852,0.524136,0.550637
Funcs,clang,O2,c,16000,1.771744,1.767861,0.028571,1.730161,1.882162
Funcs,clang,Od,cpp,16000,0.574302,0.567456,0.016175,0.557650,0.619620
Funcs,clang,O2,cpp,16000,1.821717,1.821253,0.019269,1.765964,1.863383
NoOverload,clang,Od,c,1000,0.053365,0.052815,0.002704,0.051027,0.066309
NoOverload,clang,O2,c,1000,0.140696,0.139047,0.005466,0.135115,0.157289
NoOverload,clang,Od,cpp,1000,0.060938,0.060038,0.003050,0.057917,0.070705
NoOverload,clang,O2,cpp,1000,0.144526,0.144272,0.002700,0.140121,0.153324
NoOverload,clang,Od,c,2000,0.088126,0.088024,0.001750,0.084698,0.092369
NoOverload,clang,O2,c,2000,0.267456,0.264617,0.011446,0.257557,0.307649
NoOverload,clang,Od,cpp,2000,0.107090,0.105037,0.007172,0.100889,0.141004
NoOverload,clang,O2,cpp,2000,0.279018,0.278635,0.003728,0.272211,0.288526
NoOverload,clang,Od,c,4000,0.161743,0.161753,0.002838,0.156273,0.167358
NoOverload,clang,O2,c,4000,0.545626,0.543726,0.009937,0.529702,0.580302
NoOverload,clang,Od,cpp,4000,0.197514,0.196889,0.003992,0.191321,0.210568
NoOverload,clang,O2,cpp,4000,0.583422,0.582190,0.008732,0.566165,0.602530
NoOverload,clang,Od,c,8000,0.317425,0.317254,0.004196,0.308832,0.325405
NoOverload,clang,O2,c,8000,1.195743,1.198104,0.027972,1.156065,1.288772
NoOverload,clang,Od,cpp,8000,0.391450,0.390073,0.008030,0.379752,0.427790
NoOverload,clang,O2,cpp,8000,1.277460,1.278034,0.023015,1.229280,1.320405
NoOverload,clang,Od,c,16000,0.664507,0.664810,0.007468,0.647140,0.682631
NoOverload,clang,O2,c,16000,2.878676,2.888300,0.055795,2.762655,2.997863
NoOverload,clang,Od,cpp,16000,0.806656,0.804039,0.015371,0.791073,0.880539
NoOverload,clang,O2,cpp,16000,3.052203,3.024517,0.175833,2.822620,3.419822
ReturnByPointer,clang,Od,c,1000,0.048872,0.047310,0.004672,0.045657,0.066154
ReturnByPointer,clang,O2,c,1000,0.125632,0.124996,0.003819,0.121103,0.140142
ReturnByPointer,clang,Od,cpp,1000,0.053147,0.052047,0.003123,0.049924,0.063115
ReturnByPointer,clang,O2,cpp,1000,0.127024,0.126893,0.001940,0.123512,0.132649
ReturnByPointer,clang,Od,c,2000,0.077402,0.077353,0.001848,0.074995,0.084945
ReturnByPointer,clang,O2,c,2000,0.229086,0.227198,0.006185,0.221802,0.248292
ReturnByPointer,clang,Od,cpp,2000,0.085854,0.085270,0.002716,0.081882,0.095945
ReturnByPointer,clang,O2,cpp,2000,0.233536,0.232719,0.003707,0.226880,0.244165
ReturnByPointer,clang,Od,c,4000,0.136251,0.135600,0.002293,0.130316,0.141460
ReturnByPointer,clang,O2,c,4000,0.439744,0.438372,0.009741,0.426334,0.477641
ReturnByPointer,clang,Od,cpp,4000,0.153107,0.152808,0.003518,0.147434,0.164873
ReturnByPointer,clang,O2,cpp,4000,0.450724,0.451110,0.004348,0.443774,0.457710
ReturnByPointer,clang,Od,c,8000,0.262006,0.261615,0.003562,0.257105,0.271110
ReturnByPointer,clang,O2,c,8000,0.879570,0.877498,0.019064,0.858923,0.952740
ReturnByPointer,clang,Od,cpp,8000,0.291397,0.291730,0.003789,0.283149,0.298866
ReturnByPointer,clang,O2,cpp,8000,0.906097,0.905621,0.012057,0.880594,0.935726
ReturnByPointer,clang,Od,c,16000,0.528241,0.525583,0.010673,0.511377,0.572706
ReturnByPointer,clang,O2,c,16000,1.740931,1.736084,0.023253,1.708030,1.796379
ReturnByPointer,clang,Od,cpp,16000,0.580956,0.579428,0.008733,0.568922,0.607452
ReturnByPointer,clang,O2,cpp,16000,1.818818,1.816046,0.030545,1.759465,1.909583
ReturnByValue,clang,Od,c,1000,0.066770,0.065724,0.004046,0.062363,0.080550
ReturnByValue,clang,O2,c,1000,0.119617,0.119532,0.003505,0.115097,0.129020
ReturnByValue,clang,Od,cpp,1000,0.069391,0.068701,0.002684,0.066472,0.080333
ReturnByValue,clang,O2,cpp,1000,0.121723,0.121535,0.002342,0.117988,0.129486
ReturnByValue,clang,Od,c,2000,0.110498,0.110048,0.001881,0.107462,0.116135
ReturnByValue,clang,O2,c,2000,0.219465,0.218791,0.004843,0.211553,0.234724
ReturnByValue,clang,Od,cpp,2000,0.119940,0.119140,0.003343,0.115694,0.128555
ReturnByValue,clang,O2,cpp,2000,0.226597,0.226268,0.002880,0.219388,0.232167
ReturnByValue,clang,Od,c,4000,0.204633,0.204479,0.003096,0.199836,0.210976
ReturnByValue,clang,O2,c,4000,0.429739,0.428167,0.009004,0.417682,0.461548
ReturnByValue,clang,Od,cpp,4000,0.223224,0.221378,0.005654,0.215590,0.238294
ReturnByValue,clang,O2,cpp,4000,0.439192,0.439183,0.004310,0.431885,0.450251
ReturnByValue,clang,Od,c,8000,0.391812,0.391981,0.004118,0.384284,0.401538
ReturnByValue,clang,O2,c,8000,0.863874,0.861193,0.015570,0.834702,0.930926
ReturnByValue,clang,Od,cpp,8000,0.427924,0.424973,0.009766,0.416890,0.462033
ReturnByValue,clang,O2,cpp,8000,0.880330,0.878617,0.011394,0.858673,0.904407
ReturnByValue,clang,Od,c,16000,0.784749,0.783723,0.007434,0.771620,0.800745
ReturnByValue,clang,O2,c,16000,1.816380,1.815407,0.020534,1.767011,1.857501
ReturnByValue,clang,Od,cpp,16000,0.865531,0.864848,0.009977,0.849618,0.903464
ReturnByValue,clang,O2,cpp,16000,1.880861,1.878655,0.022319,1.840207,1.918627
CppMember,msvc,Od,cpp,1000,0.054941,0.054519,0.002145,0.052734,0.063802
CppMember,msvc,O2,cpp,1000,0.064176,0.063982,0.001755,0.061404,0.068156
CppMember,msvc,Od,cpp,2000,0.084130,0.083545,0.001828,0.081581,0.088974
CppMember,msvc,O2,cpp,2000,0.102160,0.101582,0.004961,0.094252,0.114498
CppMember,msvc,Od,cpp,4000,0.155901,0.155294,0.004391,0.152136,0.177259
CppMember,msvc,O2,cpp,4000,0.183166,0.178088,0.011706,0.167985,0.210085
CppMember,msvc,Od,cpp,8000,0.337931,0.337717,0.006299,0.326174,0.356022
CppMember,msvc,O2,cpp,8000,0.394554,0.384354,0.030094,0.364621,0.491462
CppMember,msvc,Od,cpp,16000,0.913052,0.914242,0.033537,0.857591,0.994929
CppMember,msvc,O2,cpp,16000,0.842387,0.828190,0.047317,0.778587,0.975321
CppOverload,msvc,Od,cpp,1000,0.238784,0.238142,0.005947,0.232120,0.256144
CppOverload,msvc,O2,cpp,1000,0.261694,0.260801,0.006559,0.248459,0.275982
CppOverload,msvc,Od,cpp,2000,0.873131,0.870945,0.012718,0.843515,0.913567
CppOverload,msvc,O2,cpp,2000,0.912662,0.909323,0.015788,0.884105,0.957564
CppOverload,msvc,Od,cpp,4000,5.270325,5.265867,0.044271,5.164694,5.382113
CppOverload,msvc,O2,cpp,4000,5.340143,5.346550,0.040336,5.249275,5.428267
Empty,msvc,Od,c,1000,0.025603,0.025410,0.001638,0.023818,0.033445
Empty,msvc,O2,c,1000,0.025461,0.025267,0.000752,0.024005,0.027198
Empty,msvc,Od,cpp,1000,0.029174,0.028852,0.001673,0.027749,0.036984
Empty,msvc,O2,cpp,1000,0.029308,0.028687,0.002326,0.027998,0.041198
FreeFunc,msvc,Od,c,1000,0.047961,0.046719,0.003655,0.043971,0.057506
FreeFunc,msvc,O2,c,1000,0.056812,0.055898,0.005568,0.051558,0.081350
FreeFunc,msvc,Od,cpp,1000,0.058833,0.057393,0.004830,0.054344,0.078926
FreeFunc,msvc,O2,cpp,1000,0.065411,0.065041,0.002269,0.061841,0.071472
FreeFunc,msvc,Od,c,2000,0.069027,0.068657,0.003048,0.065419,0.082374
FreeFunc,msvc,O2,c,2000,0.087294,0.087383,0.006121,0.077060,0.108520
FreeFunc,msvc,Od,cpp,2000,0.087773,0.086794,0.004025,0.083540,0.102956
FreeFunc,msvc,O2,cpp,2000,0.104957,0.105439,0.005278,0.095873,0.115855
FreeFunc,msvc,Od,c,4000,0.131284,0.130588,0.003747,0.125657,0.146754
FreeFunc,msvc,O2,c,4000,0.166808,0.164809,0.014435,0.139984,0.188396
FreeFunc,msvc,Od,cpp,4000,0.174980,0.170183,0.020781,0.162432,0.279122
FreeFunc,msvc,O2,cpp,4000,0.194769,0.194780,0.015152,0.175241,0.234350
FreeFunc,msvc,Od,c,8000,0.297169,0.294901,0.012924,0.280592,0.340747
FreeFunc,msvc,O2,c,8000,0.359126,0.351689,0.032416,0.314853,0.467278
FreeFunc,msvc,Od,cpp,8000,0.355827,0.352813,0.009846,0.341848,0.386485
FreeFunc,msvc,O2,cpp,8000,0.418192,0.405877,0.035749,0.372298,0.509860
FreeFunc,msvc,Od,c,16000,0.816312,0.817018,0.015973,0.781328,0.861165
FreeFunc,msvc,O2,c,16000,0.739620,0.733974,0.043569,0.668008,0.823883
FreeFunc,msvc,Od,cpp,16000,0.943507,0.938142,0.019215,0.912922,0.998230
FreeFunc,msvc,O2,cpp,16000,0.828911,0.823501,0.033745,0.793601,0.956484
Funcs,msvc,Od,c,1000,0.043725,0.043408,0.001287,0.042262,0.047224
Funcs,msvc,O2,c,1000,0.127228,0.126645,0.002961,0.123264,0.140311
Funcs,msvc,Od,cpp,1000,0.051053,0.050949,0.001111,0.049246,0.053821
Funcs,msvc,O2,cpp,1000,0.135178,0.135202,0.001837,0.131354,0.138983
Funcs,msvc,Od,c,2000,0.067756,0.064533,0.017452,0.063006,0.159999
Funcs,msvc,O2,c,2000,0.226077,0.225845,0.003392,0.220232,0.235658
Funcs,msvc,Od,cpp,2000,0.075962,0.075937,0.001108,0.074238,0.078166
Funcs,msvc,O2,cpp,2000,0.238568,0.237938,0.003414,0.234014,0.247767
Funcs,msvc,Od,c,4000,0.119408,0.119260,0.001529,0.116885,0.122978
Funcs,msvc,O2,c,4000,0.446594,0.443820,0.010098,0.432634,0.464518
Funcs,msvc,Od,cpp,4000,0.142867,0.140561,0.012933,0.137305,0.210907
Funcs,msvc,O2,cpp,4000,0.461160,0.458596,0.008393,0.452151,0.487896
Funcs,msvc,Od,c,8000,0.264606,0.264046,0.006108,0.249341,0.284319
Funcs,msvc,O2,c,8000,0.916119,0.913870,0.025127,0.882388,0.981808
Funcs,msvc,Od,cpp,8000,0.302735,0.302149,0.005103,0.294132,0.317671
Funcs,msvc,O2,cpp,8000,0.962967,0.934858,0.051536,0.916724,1.102866
Funcs,msvc,Od,c,16000,0.782388,0.783988,0.023049,0.742261,0.831195
Funcs,msvc,O2,c,16000,1.863177,1.860839,0.046124,1.795179,1.950097
Funcs,msvc,Od,cpp,16000,0.843399,0.840013,0.022983,0.809725,0.888645
Funcs,msvc,O2,cpp,16000,1.931880,1.928310,0.042027,1.857670,2.036497
NoOverload,msvc,Od,c,1000,0.049305,0.047344,0.005693,0.045200,0.072760
NoOverload,msvc,O2,c,1000,0.067870,0.067026,0.004152,0.062745,0.081151
NoOverload,msvc,Od,cpp,1000,0.064620,0.063497,0.003588,0.061078,0.075746
NoOverload,msvc,O2,cpp,1000,0.083462,0.082360,0.003383,0.079103,0.095682
NoOverload,msvc,Od,c,2000,0.071827,0.071674,0.001966,0.069241,0.078440
NoOverload,msvc,O2,c,2000,0.115766,0.116141,0.007564,0.104090,0.134290
NoOverload,msvc,Od,cpp,2000,0.102807,0.102257,0.005253,0.098678,0.127655
NoOverload,msvc,O2,cpp,2000,0.144705,0.143912,0.009551,0.132240,0.183253
NoOverload,msvc,Od,c,4000,0.139425,0.139534,0.002171,0.132929,0.144382
NoOverload,msvc,O2,c,4000,0.224375,0.222206,0.016036,0.201040,0.274283
NoOverload,msvc,Od,cpp,4000,0.200310,0.199452,0.003989,0.194382,0.210824
NoOverload,msvc,O2,cpp,4000,0.284133,0.281268,0.016195,0.261989,0.327198
NoOverload,msvc,Od,c,8000,0.323817,0.323006,0.008980,0.310010,0.356490
NoOverload,msvc,O2,c,8000,0.546707,0.538133,0.039827,0.501947,0.663672
NoOverload,msvc,Od,cpp,8000,0.486005,0.487254,0.014666,0.460608,0.511026
NoOverload,msvc,O2,cpp,8000,0.693238,0.689140,0.025588,0.641357,0.753148
NoOverload,msvc,Od,c,16000,0.984598,0.971634,0.040730,0.913762,1.076658
NoOverload,msvc,O2,c,16000,1.236129,1.228659,0.055967,1.142261,1.370793
NoOverload,msvc,Od,cpp,16000,1.396874,1.383758,0.036956,1.346647,1.500514
NoOverload,msvc,O2,cpp,16000,1.602398,1.608809,0.051852,1.506273,1.690952
ReturnByPointer,msvc,Od,c,1000,0.051682,0.050110,0.004448,0.045986,0.064321
ReturnByPointer,msvc,O2,c,1000,0.068379,0.066253,0.005094,0.060867,0.079363
ReturnByPointer,msvc,Od,cpp,1000,0.063298,0.061895,0.004078,0.058933,0.075402
ReturnByPointer,msvc,O2,cpp,1000,0.078979,0.077651,0.003550,0.075124,0.089700
ReturnByPointer,msvc,Od,c,2000,0.075649,0.072410,0.011498,0.069618,0.133223
ReturnByPointer,msvc,O2,c,2000,0.113426,0.111929,0.008724,0.103870,0.137476
ReturnByPointer,msvc,Od,cpp,2000,0.093096,0.092333,0.002071,0.089964,0.096880
ReturnByPointer,msvc,O2,cpp,2000,0.139533,0.137843,0.010238,0.125312,0.163526
ReturnByPointer,msvc,Od,c,4000,0.142092,0.139895,0.008546,0.131649,0.179724
ReturnByPointer,msvc,O2,c,4000,0.272186,0.263033,0.032596,0.232440,0.338583
ReturnByPointer,msvc,Od,cpp,4000,0.171451,0.171736,0.002946,0.165722,0.177425
ReturnByPointer,msvc,O2,cpp,4000,0.299086,0.295665,0.029361,0.267423,0.377915
ReturnByPointer,msvc,Od,c,8000,0.311976,0.312865,0.006215,0.300826,0.327598
ReturnByPointer,msvc,O2,c,8000,0.842399,0.842534,0.092727,0.699558,1.006607
ReturnByPointer,msvc,Od,cpp,8000,0.378897,0.379578,0.008414,0.361272,0.396866
ReturnByPointer,msvc,O2,cpp,8000,0.916056,0.921453,0.090562,0.759899,1.066053
ReturnByPointer,msvc,Od,c,16000,0.876226,0.876723,0.020281,0.844877,0.912067
ReturnByPointer,msvc,O2,c,16000,0.906176,0.886141,0.056234,0.826266,1.049525
ReturnByPointer,msvc,Od,cpp,16000,1.043341,1.042785,0.022628,1.004233,1.088358
ReturnByPointer,msvc,O2,cpp,16000,1.074157,1.054584,0.065742,0.989647,1.253131
ReturnByValue,msvc,Od,c,1000,0.049965,0.048313,0.004479,0.046290,0.063084
ReturnByValue,msvc,O2,c,1000,0.083924,0.083104,0.003690,0.076641,0.092888
ReturnByValue,msvc,Od,cpp,1000,0.067681,0.067120,0.002352,0.065339,0.077684
ReturnByValue,msvc,O2,cpp,1000,0.110932,0.110389,0.004741,0.104288,0.127787
ReturnByValue,msvc,Od,c,2000,0.074341,0.074285,0.001717,0.071700,0.080173
ReturnByValue,msvc,O2,c,2000,0.171785,0.170987,0.011135,0.153259,0.197064
ReturnByValue,msvc,Od,cpp,2000,0.111867,0.111317,0.004192,0.106469,0.129112
ReturnByValue,msvc,O2,cpp,2000,0.228663,0.225198,0.013104,0.209327,0.254748
ReturnByValue,msvc,Od,c,4000,0.136481,0.135187,0.003950,0.130967,0.148320
ReturnByValue,msvc,O2,c,4000,0.413142,0.398194,0.035829,0.359232,0.474586
ReturnByValue,msvc,Od,cpp,4000,0.222781,0.223424,0.007778,0.210291,0.239760
ReturnByValue,msvc,O2,cpp,4000,0.591985,0.585392,0.031587,0.553543,0.668012
ReturnByValue,msvc,Od,c,8000,0.295879,0.295967,0.006638,0.283902,0.308223
ReturnByValue,msvc,O2,c,8000,1.229639,1.226148,0.090317,1.070503,1.463503
ReturnByValue,msvc,Od,cpp,8000,0.524684,0.521900,0.022147,0.492743,0.577127
ReturnByValue,msvc,O2,cpp,8000,1.945010,1.933369,0.105300,1.753005,2.171263
ReturnByValue,msvc,Od,c,16000,0.772046,0.763443,0.032635,0.724178,0.848212
ReturnByValue,msvc,O2,c,16000,0.914219,0.905198,0.064303,0.813763,1.110121
ReturnByValue,msvc,Od,cpp,16000,1.688803,1.671607,0.065379,1.607325,1.893651
ReturnByValue,msvc,O2,cpp,16000,1.979014,1.935997,0.155528,1.772280,2.263032
